Date	Time0 Sensor0	Time1 Sensor1	Time2 Sensor2	Time3 Sensor3	Time4 Sensor4
11/30/2011	18:03:00 2643.926532	18:03:03 2643.438670	18:03:05 2383.507804	18:03:08 2383.039831	18:03:11 3360.515371
11/30/2011	18:03:15 2633.202252	18:03:18 2629.793795	18:03:20 2376.024474	18:03:23 2373.687788	18:03:26 3265.859682
11/30/2011	18:03:30 2627.360308	18:03:33 2627.360308	18:03:35 2369.950925	18:03:38 2371.819074	18:03:41 3409.174612
11/30/2011	18:03:45 2624.927760	18:03:48 2622.496148	18:03:50 2365.283019	18:03:53 2362.483966	18:03:56 3352.349130
11/30/2011	18:04:00 2615.206930	18:04:03 2615.206930	18:04:05 2359.220005	18:04:08 2360.152390	18:04:11 3318.159649
11/30/2011	18:04:15 2616.664100	18:04:18 2615.206930	18:04:20 2361.551230	18:04:23 2359.220005	18:04:26 3230.508338
11/30/2011	18:04:30 2613.264560	18:04:33 2612.779061	18:04:35 2360.152390	18:04:38 2360.618634	18:04:41 3388.355465
11/30/2011	18:04:45 2615.692616	18:04:48 2616.664100	18:04:50 2364.349860	18:04:53 2360.152390	18:04:56 3328.994468
11/30/2011	18:05:00 2612.779061	18:05:03 2612.293599	18:05:05 2354.560193	18:05:08 2354.094405	18:05:11 3316.535945
11/30/2011	18:05:15 2607.441037	18:05:18 2606.470973	18:05:20 2349.438456	18:05:23 2346.646571	18:05:26 3331.705928
11/30/2011	18:05:30 2596.294303	18:05:33 2595.325953	18:05:35 2340.137079	18:05:38 2340.601815	18:05:41 3280.914360
11/30/2011	18:05:45 2590.970221	18:05:48 2588.551671	18:05:50 2332.706059	18:05:53 2331.777811	18:05:56 3243.341551
11/30/2011	18:06:00 2579.852580	18:06:03 2577.438299	18:06:05 2321.576295	18:06:08 2319.723287	18:06:11 3233.714309
11/30/2011	18:06:15 2569.236671	18:06:18 2568.272476	18:06:20 2314.167606	18:06:23 2312.779469	18:06:26 3317.077136
11/30/2011	18:06:30 2565.862638	18:06:33 2564.898961	18:06:35 2310.466602	18:06:38 2309.541698	18:06:41 3255.127220
11/30/2011	18:06:45 2562.490416	18:06:48 2562.008817	18:06:50 2309.079298	18:06:53 2307.692308	18:06:56 3261.027924
11/30/2011	18:07:00 2559.601380	18:07:03 2559.601380	18:07:05 2304.919264	18:07:08 2304.457212	18:07:11 3303.020461
11/30/2011	18:07:15 2557.194865	18:07:18 2557.194865	18:07:20 2303.533211	18:07:23 2304.457212	18:07:26 3254.591053
11/30/2011	18:07:30 2557.676094	18:07:33 2556.232517	18:07:35 2303.533211	18:07:38 2302.609349	18:07:41 3240.130914
